Original Line,Original Title,New Document,New Section Title,Routing Method
25,Purpose,01_EngineeringWorkflow.md,Purpose,keyword
47,Scope,01_EngineeringWorkflow.md,Scope,keyword
219,Autonomous Prompt Engineering,01_EngineeringWorkflow.md,Autonomous Prompt Engineering,keyword
238,Multi-Stage Prompt Optimization,01_EngineeringWorkflow.md,Multi-Stage Prompt Optimization,keyword
258,Engineering Intent Resolution,01_EngineeringWorkflow.md,Engineering Intent Resolution,keyword
331,Engineering Workflow Engine,01_EngineeringWorkflow.md,Engineering Workflow Engine,keyword
352,Workflow Participants,01_EngineeringWorkflow.md,Workflow Participants,keyword
397,Workflow Authority,01_EngineeringWorkflow.md,Workflow Authority,keyword
417,Workflow Ownership,01_EngineeringWorkflow.md,Workflow Ownership,keyword
435,Workflow Responsibilities,01_EngineeringWorkflow.md,Workflow Responsibilities,keyword
482,Engineering Request Lifecycle,01_EngineeringWorkflow.md,Engineering Request Lifecycle,keyword
656,Engineering Context Loading,01_EngineeringWorkflow.md,Engineering Context Loading,keyword
694,Engineering Context Propagation,01_EngineeringWorkflow.md,Engineering Context Propagation,keyword
848,Progressive Configuration Model,01_EngineeringWorkflow.md,Progressive Configuration Model,keyword
901,Automatic Engineering Orchestration,01_EngineeringWorkflow.md,Automatic Engineering Orchestration,keyword
919,Intelligent Workflow Optimization,01_EngineeringWorkflow.md,Intelligent Workflow Optimization,keyword
972,Workflow Inputs,01_EngineeringWorkflow.md,Workflow Inputs,keyword
1231,Intelligent Project Understanding,01_EngineeringWorkflow.md,Intelligent Project Understanding,keyword
1251,Automatic Workflow Selection,01_EngineeringWorkflow.md,Automatic Workflow Selection,keyword
1400,Workflow Outputs,01_EngineeringWorkflow.md,Workflow Outputs,keyword
1427,Engineering Artifact Generation,01_EngineeringWorkflow.md,Engineering Artifact Generation,keyword
1447,Automatic Artifact Management,01_EngineeringWorkflow.md,Automatic Artifact Management,keyword
1481,Dynamic Context Compression,01_EngineeringWorkflow.md,Dynamic Context Compression,keyword
1613,Intelligent Auto-Prompting Engine,01_EngineeringWorkflow.md,Intelligent Auto-Prompting Engine,keyword
1625,Recursive Prompt Refinement,01_EngineeringWorkflow.md,Recursive Prompt Refinement,keyword
1641,Prompt Chain Generation,01_EngineeringWorkflow.md,Prompt Chain Generation,keyword
1689,Prompt Quality Evaluation,01_EngineeringWorkflow.md,Prompt Quality Evaluation,keyword
1842,Dynamic Engineering Team Assembly,01_EngineeringWorkflow.md,Dynamic Engineering Team Assembly,keyword
2538,Adaptive Workflow Selection,01_EngineeringWorkflow.md,Adaptive Workflow Selection,keyword
2574,Organization Profiles,01_EngineeringWorkflow.md,Organization Profiles,keyword
2592,Project Profiles,01_EngineeringWorkflow.md,Project Profiles,keyword
3423,Engineering Workspace Manager,01_EngineeringWorkflow.md,Engineering Workspace Manager,keyword
3442,Multi-Project Management,01_EngineeringWorkflow.md,Multi-Project Management,keyword
4958,Autonomous Engineering Organization,01_EngineeringWorkflow.md,Autonomous Engineering Organization,keyword
6008,Universal Context Interface,01_EngineeringWorkflow.md,Universal Context Interface,keyword
6027,Universal Prompt Interface,01_EngineeringWorkflow.md,Universal Prompt Interface,keyword
70,Engineering Workflow Philosophy,02_AIOSCoreArchitecture.md,Vision & Philosophy,keyword
90,AI-Agnostic Architecture,02_AIOSCoreArchitecture.md,AI-Agnostic Architecture,keyword
278,Engineering Workflow Principles,02_AIOSCoreArchitecture.md,Engineering Workflow Principles,keyword
307,Workflow Architecture,02_AIOSCoreArchitecture.md,Workflow Architecture,keyword
2241,Architecture Discovery,02_AIOSCoreArchitecture.md,Architecture Discovery,keyword
2679,MUF Labs AI Operating System,02_AIOSCoreArchitecture.md,MUF Labs AI Operating System,override
2713,AI Operating System Architecture,02_AIOSCoreArchitecture.md,AI Operating System Architecture,keyword
2998,Intelligent Orchestration Philosophy,02_AIOSCoreArchitecture.md,Intelligent Orchestration Philosophy,keyword
3511,AI Operating System Principles,02_AIOSCoreArchitecture.md,AI Operating System Principles,keyword
3879,Self-Discovery,02_AIOSCoreArchitecture.md,Self-Discovery,keyword
3898,Zero Configuration Operation,02_AIOSCoreArchitecture.md,Zero Configuration Operation,keyword
4099,Service-Oriented AI Architecture,02_AIOSCoreArchitecture.md,Service-Oriented AI Architecture,keyword
4472,AI Operating System Manifesto,02_AIOSCoreArchitecture.md,AI Operating System Manifesto,keyword
4895,Enterprise Architecture,02_AIOSCoreArchitecture.md,Enterprise Architecture,keyword
4914,Engineering Operating Principles,02_AIOSCoreArchitecture.md,Engineering Operating Principles,keyword
4968,Organizational Architecture,02_AIOSCoreArchitecture.md,Organizational Architecture,keyword
5353,AI Operating System Constitution,02_AIOSCoreArchitecture.md,AI Operating System Constitution,keyword
6325,Final Engineering Workflow Principles,02_AIOSCoreArchitecture.md,Final Engineering Workflow Principles,keyword
7872,Ecosystem Principles,02_AIOSCoreArchitecture.md,Ecosystem Principles,keyword
8358,AI Operating System Software Development Principles,02_AIOSCoreArchitecture.md,AI Operating System Software Development Principles,keyword
8377,AI Operating System Vision Statement,02_AIOSCoreArchitecture.md,AI Operating System Vision Statement,keyword
8411,Universal AI Session,02_AIOSCoreArchitecture.md,Universal AI Session,keyword
8750,AI Native Ecosystem Vision,02_AIOSCoreArchitecture.md,AI Native Ecosystem Vision,keyword
8772,Long-Term Vision,02_AIOSCoreArchitecture.md,Long-Term Vision,keyword
8797,Native AIOS Features,02_AIOSCoreArchitecture.md,Native AIOS Features,keyword
9760,Universal AIOS Principles,02_AIOSCoreArchitecture.md,Universal AIOS Principles,keyword
9784,AIOS Reference Architecture,02_AIOSCoreArchitecture.md,AIOS Reference Architecture,keyword
9796,Layered Architecture,02_AIOSCoreArchitecture.md,Layered Architecture,keyword
10023,AI Native Service Architecture,02_AIOSCoreArchitecture.md,AI Native Service Architecture,keyword
10059,Pluggable Architecture,02_AIOSCoreArchitecture.md,Pluggable Architecture,keyword
10194,AI Operating System Architectural Vision,02_AIOSCoreArchitecture.md,AI Operating System Architectural Vision,keyword
714,Multi-Agent Execution Model,03_KernelRuntime.md,Multi-Agent Execution Model,keyword
1707,Multi-Agent Prompt Collaboration,03_KernelRuntime.md,Multi-Agent Prompt Collaboration,keyword
1822,Automatic Engineering Agent Selection,03_KernelRuntime.md,Automatic Engineering Agent Selection,keyword
1869,Engineering Agent Registry,03_KernelRuntime.md,Engineering Agent Registry,keyword
2627,Engineering Session Management,03_KernelRuntime.md,Engineering Session Management,keyword
2775,Engineering Agent Operating Model,03_KernelRuntime.md,Engineering Agent Operating Model,keyword
3039,AI Kernel Architecture,03_KernelRuntime.md,AI Kernel Architecture,keyword
3059,AI Kernel Responsibilities,03_KernelRuntime.md,AI Kernel Responsibilities,keyword
3083,Kernel Services,03_KernelRuntime.md,Kernel Services,keyword
3104,Engineering Agent Runtime,03_KernelRuntime.md,Engineering Agent Runtime,keyword
3125,Engineering Agent Lifecycle,03_KernelRuntime.md,Engineering Agent Lifecycle,keyword
3223,Workflow Scheduler,03_KernelRuntime.md,Workflow Scheduler,keyword
3242,Engineering Task Manager,03_KernelRuntime.md,Engineering Task Manager,keyword
3260,Workflow Queue Management,03_KernelRuntime.md,Workflow Queue Management,override
3278,Resource Scheduler,03_KernelRuntime.md,Resource Scheduler,keyword
3454,Autonomous Engineering Supervisor,03_KernelRuntime.md,Autonomous Engineering Supervisor,override
4153,AI Session Runtime,03_KernelRuntime.md,AI Session Runtime,override
6488,Resource Scheduling,03_KernelRuntime.md,Resource Scheduling,keyword
6774,AI Process Manager,03_KernelRuntime.md,AI Process Manager,keyword
6786,AI Process Model,03_KernelRuntime.md,AI Process Model,keyword
6808,Process Lifecycle,03_KernelRuntime.md,Process Lifecycle,keyword
6862,Process Scheduling,03_KernelRuntime.md,Process Scheduling,keyword
6881,Intelligent Process Prioritization,03_KernelRuntime.md,Intelligent Process Prioritization,keyword
6899,Parallel Process Execution,03_KernelRuntime.md,Parallel Process Execution,keyword
6915,Process Synchronization,03_KernelRuntime.md,Process Synchronization,keyword
6931,Process Isolation,03_KernelRuntime.md,Process Isolation,keyword
6947,Background Processes,03_KernelRuntime.md,Background Processes,keyword
6983,Persistent Processes,03_KernelRuntime.md,Persistent Processes,override
7017,AI Thread Management,03_KernelRuntime.md,AI Thread Management,keyword
7050,AI Filesystem (AIFS),03_KernelRuntime.md,AI Filesystem (AIFS),keyword
7274,AI Operating System Kernel Services,03_KernelRuntime.md,AI Operating System Kernel Services,keyword
7298,Kernel Stability Principles,03_KernelRuntime.md,Kernel Stability Principles,keyword
8282,Intelligent Engineering Sessions,03_KernelRuntime.md,Intelligent Engineering Sessions,keyword
8301,Engineering Workspace Runtime,03_KernelRuntime.md,Engineering Workspace Runtime,keyword
8320,AI Native Automation,03_KernelRuntime.md,AI Native Automation,keyword
8401,AI Native Operating Environment,03_KernelRuntime.md,AI Native Operating Environment,keyword
9582,Autonomous Background Services,03_KernelRuntime.md,Autonomous Background Services,keyword
9601,AI Native Scheduling,03_KernelRuntime.md,AI Native Scheduling,keyword
9938,AI Operating System Kernel,03_KernelRuntime.md,AI Operating System Kernel,keyword
10040,Microkernel Philosophy,03_KernelRuntime.md,Microkernel Philosophy,keyword
10707,Intelligence Scheduling,03_KernelRuntime.md,Intelligence Scheduling,keyword
11520,AI Operating System Interface Definition (AIOS-IDL),03_KernelRuntime.md,AI Operating System Interface Definition (AIOS-IDL),chapter
11532,Operating System Service Contracts,03_KernelRuntime.md,Operating System Service Contracts,chapter
11552,Universal System Call Interface,03_KernelRuntime.md,Universal System Call Interface,chapter
